id,hours_since_open,customer_tier,has_sla,prior_incidents,urgent_words,label
T001,2,enterprise,1,3,4,1
T002,18,standard,0,0,0,0
T003,1,enterprise,1,2,5,1
T004,30,free,0,0,1,0
T005,4,standard,1,1,3,1
T006,50,free,0,0,0,0
T007,6,enterprise,1,0,2,1
T008,72,standard,0,1,0,0
T009,3,enterprise,1,4,4,1
T010,12,free,0,0,0,0
T011,5,standard,1,2,2,1
T012,90,free,0,1,1,0
T013,7,enterprise,1,1,3,1
T014,24,standard,0,0,1,0
T015,9,enterprise,1,3,2,1
T016,48,free,0,0,0,0
T017,10,standard,1,1,2,1
T018,36,free,0,1,0,0
T019,2,enterprise,1,2,3,1
T020,20,standard,0,0,0,0
T021,8,enterprise,1,0,4,1
T022,60,free,0,0,1,0
T023,14,standard,1,2,1,1
T024,40,standard,0,0,0,0

