term,multiplier,case_pass_rate,winner_changes,changed_cases,proxy_weight_share,cost_weight_share,status
correctness,0.5,1.0,0,,0.0,0.1625,pass
correctness,0.75,1.0,0,,0.0,0.144444,pass
correctness,1.0,1.0,0,,0.0,0.13,pass
correctness,1.25,1.0,0,,0.0,0.118182,pass
correctness,1.5,0.888889,1,sensibilidad_evidencia,0.0,0.108333,block
evidence,0.5,0.888889,1,sensibilidad_evidencia,0.0,0.146067,block
evidence,0.75,0.888889,1,sensibilidad_evidencia,0.0,0.137566,block
evidence,1.0,1.0,0,,0.0,0.13,pass
evidence,1.25,1.0,0,,0.0,0.123223,pass
evidence,1.5,1.0,0,,0.0,0.117117,pass
format,0.5,1.0,0,,0.0,0.139037,pass
format,0.75,1.0,0,,0.0,0.134367,pass
format,1.0,1.0,0,,0.0,0.13,pass
format,1.25,1.0,0,,0.0,0.125908,pass
format,1.5,1.0,0,,0.0,0.122066,pass
abstention,0.5,1.0,0,,0.0,0.138298,pass
abstention,0.75,1.0,0,,0.0,0.134021,pass
abstention,1.0,1.0,0,,0.0,0.13,pass
abstention,1.25,1.0,0,,0.0,0.126214,pass
abstention,1.5,1.0,0,,0.0,0.122642,pass
latency_cost,0.5,1.0,0,,0.0,0.098446,pass
latency_cost,0.75,1.0,0,,0.0,0.114504,pass
latency_cost,1.0,1.0,0,,0.0,0.13,pass
latency_cost,1.25,1.0,0,,0.0,0.144963,pass
latency_cost,1.5,1.0,0,,0.0,0.15942,pass
token_cost,0.5,1.0,0,,0.0,0.112245,pass
token_cost,0.75,1.0,0,,0.0,0.121212,pass
token_cost,1.0,1.0,0,,0.0,0.13,pass
token_cost,1.25,1.0,0,,0.0,0.138614,pass
token_cost,1.5,1.0,0,,0.0,0.147059,pass
tool_cost,0.5,1.0,0,,0.0,0.121212,pass
tool_cost,0.75,1.0,0,,0.0,0.125628,pass
tool_cost,1.0,1.0,0,,0.0,0.13,pass
tool_cost,1.25,1.0,0,,0.0,0.134328,pass
tool_cost,1.5,1.0,0,,0.0,0.138614,pass
