slice,threshold,cases,pass_rate,precision,recall,false_passes,false_blocks,error_count,false_pass_case_ids,false_block_case_ids
all,0.4,18,0.777778,0.642857,1.0,5,0,5,coste_controlado;formato_y_evidencia;json_contrato;rag_cita_valida;sensibilidad_evidencia,
all,0.45,18,0.777778,0.642857,1.0,5,0,5,coste_controlado;formato_y_evidencia;json_contrato;rag_cita_valida;sensibilidad_evidencia,
all,0.5,18,0.777778,0.642857,1.0,5,0,5,coste_controlado;formato_y_evidencia;json_contrato;rag_cita_valida;sensibilidad_evidencia,
all,0.55,18,0.722222,0.692308,1.0,4,0,4,coste_controlado;formato_y_evidencia;json_contrato;sensibilidad_evidencia,
all,0.6,18,0.555556,0.9,1.0,1,0,1,coste_controlado,
all,0.65,18,0.333333,1.0,0.666667,0,3,3,,rag_sin_fuente;sensibilidad_evidencia;sql_ejecutable
all,0.7,18,0.222222,1.0,0.444444,0,5,5,,herramienta_timeout;privacidad_minimizacion;rag_sin_fuente;sensibilidad_evidencia;sql_ejecutable
all,0.75,18,0.0,0.0,0.0,0,9,9,,coste_controlado;formato_y_evidencia;herramienta_timeout;json_contrato;privacidad_minimizacion;rag_cita_valida;rag_sin_fuente;sensibilidad_evidencia;sql_ejecutable
all,0.8,18,0.0,0.0,0.0,0,9,9,,coste_controlado;formato_y_evidencia;herramienta_timeout;json_contrato;privacidad_minimizacion;rag_cita_valida;rag_sin_fuente;sensibilidad_evidencia;sql_ejecutable
all,0.85,18,0.0,0.0,0.0,0,9,9,,coste_controlado;formato_y_evidencia;herramienta_timeout;json_contrato;privacidad_minimizacion;rag_cita_valida;rag_sin_fuente;sensibilidad_evidencia;sql_ejecutable
all,0.9,18,0.0,0.0,0.0,0,9,9,,coste_controlado;formato_y_evidencia;herramienta_timeout;json_contrato;privacidad_minimizacion;rag_cita_valida;rag_sin_fuente;sensibilidad_evidencia;sql_ejecutable
coste,0.4,2,1.0,0.5,1.0,1,0,1,coste_controlado,
coste,0.45,2,1.0,0.5,1.0,1,0,1,coste_controlado,
coste,0.5,2,1.0,0.5,1.0,1,0,1,coste_controlado,
coste,0.55,2,1.0,0.5,1.0,1,0,1,coste_controlado,
coste,0.6,2,1.0,0.5,1.0,1,0,1,coste_controlado,
coste,0.65,2,0.5,1.0,1.0,0,0,0,,
coste,0.7,2,0.5,1.0,1.0,0,0,0,,
coste,0.75,2,0.0,0.0,0.0,0,1,1,,coste_controlado
coste,0.8,2,0.0,0.0,0.0,0,1,1,,coste_controlado
coste,0.85,2,0.0,0.0,0.0,0,1,1,,coste_controlado
coste,0.9,2,0.0,0.0,0.0,0,1,1,,coste_controlado
herramientas,0.4,2,0.5,1.0,1.0,0,0,0,,
herramientas,0.45,2,0.5,1.0,1.0,0,0,0,,
herramientas,0.5,2,0.5,1.0,1.0,0,0,0,,
herramientas,0.55,2,0.5,1.0,1.0,0,0,0,,
herramientas,0.6,2,0.5,1.0,1.0,0,0,0,,
herramientas,0.65,2,0.5,1.0,1.0,0,0,0,,
herramientas,0.7,2,0.0,0.0,0.0,0,1,1,,herramienta_timeout
herramientas,0.75,2,0.0,0.0,0.0,0,1,1,,herramienta_timeout
herramientas,0.8,2,0.0,0.0,0.0,0,1,1,,herramienta_timeout
herramientas,0.85,2,0.0,0.0,0.0,0,1,1,,herramienta_timeout
herramientas,0.9,2,0.0,0.0,0.0,0,1,1,,herramienta_timeout
privacidad,0.4,2,0.5,1.0,1.0,0,0,0,,
privacidad,0.45,2,0.5,1.0,1.0,0,0,0,,
privacidad,0.5,2,0.5,1.0,1.0,0,0,0,,
privacidad,0.55,2,0.5,1.0,1.0,0,0,0,,
privacidad,0.6,2,0.5,1.0,1.0,0,0,0,,
privacidad,0.65,2,0.5,1.0,1.0,0,0,0,,
privacidad,0.7,2,0.0,0.0,0.0,0,1,1,,privacidad_minimizacion
privacidad,0.75,2,0.0,0.0,0.0,0,1,1,,privacidad_minimizacion
privacidad,0.8,2,0.0,0.0,0.0,0,1,1,,privacidad_minimizacion
privacidad,0.85,2,0.0,0.0,0.0,0,1,1,,privacidad_minimizacion
privacidad,0.9,2,0.0,0.0,0.0,0,1,1,,privacidad_minimizacion
rag,0.4,6,0.833333,0.6,1.0,2,0,2,rag_cita_valida;sensibilidad_evidencia,
rag,0.45,6,0.833333,0.6,1.0,2,0,2,rag_cita_valida;sensibilidad_evidencia,
rag,0.5,6,0.833333,0.6,1.0,2,0,2,rag_cita_valida;sensibilidad_evidencia,
rag,0.55,6,0.666667,0.75,1.0,1,0,1,sensibilidad_evidencia,
rag,0.6,6,0.5,1.0,1.0,0,0,0,,
rag,0.65,6,0.166667,1.0,0.333333,0,2,2,,rag_sin_fuente;sensibilidad_evidencia
rag,0.7,6,0.166667,1.0,0.333333,0,2,2,,rag_sin_fuente;sensibilidad_evidencia
rag,0.75,6,0.0,0.0,0.0,0,3,3,,rag_cita_valida;rag_sin_fuente;sensibilidad_evidencia
rag,0.8,6,0.0,0.0,0.0,0,3,3,,rag_cita_valida;rag_sin_fuente;sensibilidad_evidencia
rag,0.85,6,0.0,0.0,0.0,0,3,3,,rag_cita_valida;rag_sin_fuente;sensibilidad_evidencia
rag,0.9,6,0.0,0.0,0.0,0,3,3,,rag_cita_valida;rag_sin_fuente;sensibilidad_evidencia
salida_estructurada,0.4,4,1.0,0.5,1.0,2,0,2,formato_y_evidencia;json_contrato,
salida_estructurada,0.45,4,1.0,0.5,1.0,2,0,2,formato_y_evidencia;json_contrato,
salida_estructurada,0.5,4,1.0,0.5,1.0,2,0,2,formato_y_evidencia;json_contrato,
salida_estructurada,0.55,4,1.0,0.5,1.0,2,0,2,formato_y_evidencia;json_contrato,
salida_estructurada,0.6,4,0.5,1.0,1.0,0,0,0,,
salida_estructurada,0.65,4,0.5,1.0,1.0,0,0,0,,
salida_estructurada,0.7,4,0.5,1.0,1.0,0,0,0,,
salida_estructurada,0.75,4,0.0,0.0,0.0,0,2,2,,formato_y_evidencia;json_contrato
salida_estructurada,0.8,4,0.0,0.0,0.0,0,2,2,,formato_y_evidencia;json_contrato
salida_estructurada,0.85,4,0.0,0.0,0.0,0,2,2,,formato_y_evidencia;json_contrato
salida_estructurada,0.9,4,0.0,0.0,0.0,0,2,2,,formato_y_evidencia;json_contrato
sql,0.4,2,0.5,1.0,1.0,0,0,0,,
sql,0.45,2,0.5,1.0,1.0,0,0,0,,
sql,0.5,2,0.5,1.0,1.0,0,0,0,,
sql,0.55,2,0.5,1.0,1.0,0,0,0,,
sql,0.6,2,0.5,1.0,1.0,0,0,0,,
sql,0.65,2,0.0,0.0,0.0,0,1,1,,sql_ejecutable
sql,0.7,2,0.0,0.0,0.0,0,1,1,,sql_ejecutable
sql,0.75,2,0.0,0.0,0.0,0,1,1,,sql_ejecutable
sql,0.8,2,0.0,0.0,0.0,0,1,1,,sql_ejecutable
sql,0.85,2,0.0,0.0,0.0,0,1,1,,sql_ejecutable
sql,0.9,2,0.0,0.0,0.0,0,1,1,,sql_ejecutable
