term,multiplier,case_pass_rate,winner_changes,changed_cases,proxy_weight_share,cost_weight_share,status
correctness,0.5,0.0,0,,0.657895,0.039474,block
correctness,0.75,0.0,0,,0.609756,0.036585,block
correctness,1.0,0.0,0,,0.568182,0.034091,block
correctness,1.25,0.0,0,,0.531915,0.031915,block
correctness,1.5,0.0,0,,0.5,0.03,block
evidence,0.5,0.0,0,,0.588235,0.035294,block
evidence,0.75,0.0,0,,0.578035,0.034682,block
evidence,1.0,0.0,0,,0.568182,0.034091,block
evidence,1.25,0.0,0,,0.558659,0.03352,block
evidence,1.5,0.0,0,,0.549451,0.032967,block
format,0.5,0.0,0,,0.584795,0.035088,block
format,0.75,0.0,0,,0.576369,0.034582,block
format,1.0,0.0,0,,0.568182,0.034091,block
format,1.25,0.0,0,,0.560224,0.033613,block
format,1.5,0.0,0,,0.552486,0.033149,block
style,0.5,0.0,0,,0.506494,0.038961,block
style,0.75,0.0,0,,0.539394,0.036364,block
style,1.0,0.0,0,,0.568182,0.034091,block
style,1.25,0.0,0,,0.593583,0.032086,block
style,1.5,0.0,0,,0.616162,0.030303,block
length_bonus,0.5,0.0,0,,0.486486,0.040541,block
length_bonus,0.75,0.0,0,,0.530864,0.037037,block
length_bonus,1.0,0.0,0,,0.568182,0.034091,block
length_bonus,1.25,0.0,0,,0.6,0.031579,block
length_bonus,1.5,0.0,0,,0.627451,0.029412,block
latency_cost,0.5,0.0,0,,0.578035,0.017341,block
latency_cost,0.75,0.0,0,,0.573066,0.025788,block
latency_cost,1.0,0.0,0,,0.568182,0.034091,block
latency_cost,1.25,0.0,0,,0.56338,0.042254,block
latency_cost,1.5,0.0,0,,0.558659,0.050279,block
