document_id,table_id,page,row,col,text,confidence,bbox
invoice_line_items_002,line_items,1,1,1,Horas de revisión documental,0.91,"[0.137, 0.316, 0.475, 0.337]"
invoice_line_items_002,line_items,1,1,2,4,0.9,"[0.58, 0.319, 0.6, 0.337]"
invoice_line_items_002,line_items,1,1,3,75.00,0.92,"[0.668, 0.319, 0.72, 0.337]"
invoice_line_items_002,line_items,1,1,4,300.00,0.92,"[0.79, 0.319, 0.85, 0.337]"
invoice_line_items_002,line_items,1,2,1,Licencia OCR mensual,0.9,"[0.137, 0.358, 0.37, 0.378]"
invoice_line_items_002,line_items,1,2,2,1,0.9,"[0.58, 0.361, 0.6, 0.378]"
invoice_line_items_002,line_items,1,2,3,120.00,0.92,"[0.668, 0.361, 0.733, 0.378]"
invoice_line_items_002,line_items,1,2,4,120.00,0.92,"[0.79, 0.361, 0.85, 0.378]"
merged_table_004,quarter_spend,1,0,1,Importes por trimestre,0.84,"[0.116, 0.177, 0.866, 0.229]"
merged_table_004,quarter_spend,1,1,0,Departamento,0.88,"[0.116, 0.229, 0.304, 0.276]"
merged_table_004,quarter_spend,1,1,1,Q1,0.89,"[0.304, 0.229, 0.445, 0.276]"
merged_table_004,quarter_spend,1,2,0,Becas,0.9,"[0.116, 0.276, 0.304, 0.319]"
merged_table_004,quarter_spend,1,2,1,1200,0.9,"[0.304, 0.276, 0.445, 0.319]"
merged_table_004,quarter_spend,1,3,0,Laboratorios,0.9,"[0.116, 0.319, 0.304, 0.363]"
merged_table_004,quarter_spend,1,4,0,Biblioteca,0.9,"[0.116, 0.363, 0.304, 0.406]"
