artifact_id,case_id,artifact_hash,modality,surface,owner,destination,storage,policy_hash,detector_version,redaction_operators,decision,retention_days
art_doc_dni_invoice,doc_dni_invoice,bbffb5d34c9fcbc6,document,pdf_ocr,equipo_soporte_academico,approved_ai_provider,redacted_trace,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,hash:email|redact,review,30
art_image_badge_face,image_badge_face,3e9bcb8fd7da3c98,image,image_upload,equipo_admisiones,internal_support_tool,redacted_trace,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,blur:strong|tokenize:student_id,review,30
art_audio_phone_slot,audio_phone_slot,61e42c5081db950d,audio,asr_transcript,equipo_contact_center,internal_support_tool,redacted_trace,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,mask:last2|replace:<PERSONA>,pass,30
art_video_license_plate,video_license_plate,6b49970f6b8d1a44,video,frame_stream,equipo_operaciones,internal_eval_store,redacted_trace,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,blur:strong|blur_or_redact,review,30
art_rag_confidential_slide,rag_confidential_slide,852021ac341d8bd9,rag,retrieved_pdf_slide,equipo_conocimiento,approved_ai_provider,redacted_trace,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,redact,block,30
art_ui_api_key_prompt_injection,ui_api_key_prompt_injection,f0b8332de1f193c6,ui_trace,screenshot_ocr,equipo_plataforma,security_ticket,secret_leak,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,revoke_and_redact|taint_untrusted_content,block,0
art_computer_use_external_submit,computer_use_external_submit,9934b8be3f0d58b3,ui_trace,browser_trace,equipo_sre,public_webhook,redacted_trace,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,hash:email|redact,block,30
art_eval_dataset_student_email,eval_dataset_student_email,41bbf21848012b0e,eval_dataset,json_fixture,equipo_evalops,internal_eval_store,eval_case_redacted,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,hash:email|tokenize:student_id,review,180
art_image_exif_location,image_exif_location,de64a648266a7800,image,image_upload_exif,equipo_contenido,approved_ai_provider,raw_prompt,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,generalize:city|strip_exif_and_round_geohash,review,7
art_low_res_ocr_missed_dni,low_res_ocr_missed_dni,73a0c42f075b68cc,document,low_resolution_scan,equipo_document_ai,approved_ai_provider,raw_prompt,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,hash:email|redact,review,7
art_audio_noise_health_hint,audio_noise_health_hint,c080f1f2ce6007cf,audio,asr_transcript_low_confidence,equipo_contact_center,internal_support_tool,redacted_trace,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,mask:last2|redact,review,30
art_eval_reconstructible_token_fragment,eval_reconstructible_token_fragment,9575228ce2d71394,eval_dataset,json_fixture,equipo_evalops,internal_eval_store,eval_case_redacted,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,redact|revoke_if_reconstructible,block,180
art_reflection_face_in_public_photo,reflection_face_in_public_photo,c641bc25a5ac7ad1,image,public_image_with_reflection,equipo_contenido,approved_ai_provider,public_asset,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,blur:strong,review,365
art_public_product_photo,public_product_photo,afbd2cba09451ecc,image,public_image,equipo_contenido,approved_ai_provider,public_asset,371ee6494a3eb0b5,simulated-multimodal-detector-0.1,none,pass,365
