scenario,case_id,metric,value,operator,threshold,status
baseline,catalog_alt_text,quality_score,0.865,>=,0.78,pass
baseline,catalog_alt_text,risk_score,0.03,<,0.48,pass
baseline,catalog_alt_text,latency_ms,900,<=,2200,pass
baseline,catalog_alt_text,cost_units,1.4,<=,9.0,pass
baseline,catalog_alt_text,failure_rate,0.01,<=,0.04,pass
baseline,catalog_alt_text,missing_evidence_count,0,==,0,pass
baseline,catalog_alt_text,missing_controls_count,0,==,0,pass
baseline,invoice_table_extraction,quality_score,0.7975,>=,0.78,pass
baseline,invoice_table_extraction,risk_score,0.06,<,0.48,pass
baseline,invoice_table_extraction,latency_ms,1800,<=,2200,pass
baseline,invoice_table_extraction,cost_units,4.8,<=,9.0,pass
baseline,invoice_table_extraction,failure_rate,0.035,<=,0.04,pass
baseline,invoice_table_extraction,missing_evidence_count,1,==,0,review
baseline,invoice_table_extraction,missing_controls_count,0,==,0,pass
baseline,policy_rag_with_internal_slides,quality_score,0.7975,>=,0.78,pass
baseline,policy_rag_with_internal_slides,risk_score,0.45,<,0.48,pass
baseline,policy_rag_with_internal_slides,latency_ms,2100,<=,2200,pass
baseline,policy_rag_with_internal_slides,cost_units,7.2,<=,9.0,pass
baseline,policy_rag_with_internal_slides,failure_rate,0.045,<=,0.04,review
baseline,policy_rag_with_internal_slides,missing_evidence_count,3,==,0,review
baseline,policy_rag_with_internal_slides,missing_controls_count,2,==,0,review
baseline,voice_appointment_agent,quality_score,0.78,>=,0.78,pass
baseline,voice_appointment_agent,risk_score,0.06,<,0.48,pass
baseline,voice_appointment_agent,latency_ms,2600,<=,2200,review
baseline,voice_appointment_agent,cost_units,5.1,<=,9.0,pass
baseline,voice_appointment_agent,failure_rate,0.025,<=,0.04,pass
baseline,voice_appointment_agent,missing_evidence_count,1,==,0,review
baseline,voice_appointment_agent,missing_controls_count,0,==,0,pass
baseline,parking_video_event_triage,quality_score,0.6825,>=,0.78,review
baseline,parking_video_event_triage,risk_score,0.18,<,0.48,pass
baseline,parking_video_event_triage,latency_ms,3100,<=,2200,review
baseline,parking_video_event_triage,cost_units,8.8,<=,9.0,pass
baseline,parking_video_event_triage,failure_rate,0.055,<=,0.04,review
baseline,parking_video_event_triage,missing_evidence_count,3,==,0,review
baseline,parking_video_event_triage,missing_controls_count,1,==,0,review
baseline,computer_use_claim_submission,quality_score,0.8325,>=,0.78,pass
baseline,computer_use_claim_submission,risk_score,0.84,<,0.48,review
baseline,computer_use_claim_submission,latency_ms,1700,<=,2200,pass
baseline,computer_use_claim_submission,cost_units,6.2,<=,9.0,pass
baseline,computer_use_claim_submission,failure_rate,0.02,<=,0.04,pass
baseline,computer_use_claim_submission,missing_evidence_count,4,==,0,review
baseline,computer_use_claim_submission,missing_controls_count,5,==,0,review
baseline,visual_search_catalog,quality_score,0.8425,>=,0.78,pass
baseline,visual_search_catalog,risk_score,0.07,<,0.48,pass
baseline,visual_search_catalog,latency_ms,1900,<=,2200,pass
baseline,visual_search_catalog,cost_units,5.9,<=,9.0,pass
baseline,visual_search_catalog,failure_rate,0.025,<=,0.04,pass
baseline,visual_search_catalog,missing_evidence_count,0,==,0,pass
baseline,visual_search_catalog,missing_controls_count,0,==,0,pass
baseline,student_multimodal_helpdesk,quality_score,0.725,>=,0.78,review
baseline,student_multimodal_helpdesk,risk_score,0.1,<,0.48,pass
baseline,student_multimodal_helpdesk,latency_ms,2400,<=,2200,review
baseline,student_multimodal_helpdesk,cost_units,9.4,<=,9.0,review
baseline,student_multimodal_helpdesk,failure_rate,0.052,<=,0.04,review
baseline,student_multimodal_helpdesk,missing_evidence_count,7,==,0,review
baseline,student_multimodal_helpdesk,missing_controls_count,0,==,0,pass
remediated,catalog_alt_text,quality_score,0.88,>=,0.78,pass
remediated,catalog_alt_text,risk_score,0.03,<,0.48,pass
remediated,catalog_alt_text,latency_ms,850,<=,2200,pass
remediated,catalog_alt_text,cost_units,1.3,<=,9.0,pass
remediated,catalog_alt_text,failure_rate,0.01,<=,0.04,pass
remediated,catalog_alt_text,missing_evidence_count,0,==,0,pass
remediated,catalog_alt_text,missing_controls_count,0,==,0,pass
remediated,invoice_table_extraction,quality_score,0.8525,>=,0.78,pass
remediated,invoice_table_extraction,risk_score,0.06,<,0.48,pass
remediated,invoice_table_extraction,latency_ms,1650,<=,2200,pass
remediated,invoice_table_extraction,cost_units,4.3,<=,9.0,pass
remediated,invoice_table_extraction,failure_rate,0.025,<=,0.04,pass
remediated,invoice_table_extraction,missing_evidence_count,0,==,0,pass
remediated,invoice_table_extraction,missing_controls_count,0,==,0,pass
remediated,policy_rag_with_internal_slides,quality_score,0.8375,>=,0.78,pass
remediated,policy_rag_with_internal_slides,risk_score,0.07,<,0.48,pass
remediated,policy_rag_with_internal_slides,latency_ms,2000,<=,2200,pass
remediated,policy_rag_with_internal_slides,cost_units,6.7,<=,9.0,pass
remediated,policy_rag_with_internal_slides,failure_rate,0.03,<=,0.04,pass
remediated,policy_rag_with_internal_slides,missing_evidence_count,0,==,0,pass
