case_id,split,raw_score,label,slice,channel,week
c001,calibration,0.03,0,general,email,2026-W18
c002,calibration,0.07,0,general,web,2026-W18
c003,calibration,0.11,0,becas,email,2026-W18
c004,calibration,0.16,0,matricula,web,2026-W18
c005,calibration,0.19,0,soporte_tecnico,chat,2026-W18
c006,calibration,0.23,1,becas,email,2026-W18
c007,calibration,0.27,0,general,web,2026-W19
c008,calibration,0.31,0,matricula,email,2026-W19
c009,calibration,0.35,1,becas,chat,2026-W19
c010,calibration,0.38,0,soporte_tecnico,web,2026-W19
c011,calibration,0.42,1,matricula,email,2026-W19
c012,calibration,0.45,0,general,chat,2026-W19
c013,calibration,0.49,1,becas,email,2026-W20
c014,calibration,0.52,1,matricula,web,2026-W20
c015,calibration,0.55,0,general,email,2026-W20
c016,calibration,0.58,1,soporte_tecnico,chat,2026-W20
c017,calibration,0.61,1,becas,web,2026-W20
c018,calibration,0.64,0,general,email,2026-W20
c019,calibration,0.67,1,matricula,chat,2026-W21
c020,calibration,0.70,1,becas,email,2026-W21
c021,calibration,0.73,1,soporte_tecnico,web,2026-W21
c022,calibration,0.76,0,general,chat,2026-W21
c023,calibration,0.79,1,matricula,email,2026-W21
c024,calibration,0.82,1,becas,web,2026-W21
c025,calibration,0.85,1,soporte_tecnico,email,2026-W22
c026,calibration,0.88,1,general,chat,2026-W22
c027,calibration,0.90,1,matricula,web,2026-W22
c028,calibration,0.92,1,becas,email,2026-W22
c029,calibration,0.94,1,soporte_tecnico,chat,2026-W22
c030,calibration,0.96,1,general,web,2026-W22
c031,calibration,0.12,0,general,chat,2026-W23
c032,calibration,0.29,1,becas,web,2026-W23
c033,calibration,0.47,0,matricula,email,2026-W23
c034,calibration,0.63,1,soporte_tecnico,chat,2026-W23
c035,calibration,0.78,1,becas,email,2026-W23
c036,calibration,0.97,0,general,web,2026-W23
e001,evaluation,0.04,0,general,email,2026-W24
e002,evaluation,0.09,0,becas,web,2026-W24
e003,evaluation,0.14,0,matricula,email,2026-W24
e004,evaluation,0.18,0,soporte_tecnico,chat,2026-W24
e005,evaluation,0.22,1,becas,email,2026-W24
e006,evaluation,0.26,0,general,web,2026-W24
e007,evaluation,0.30,0,matricula,chat,2026-W25
e008,evaluation,0.34,1,becas,email,2026-W25
e009,evaluation,0.38,0,soporte_tecnico,web,2026-W25
e010,evaluation,0.42,1,general,email,2026-W25
e011,evaluation,0.46,0,matricula,chat,2026-W25
e012,evaluation,0.50,1,becas,web,2026-W25
e013,evaluation,0.54,1,soporte_tecnico,email,2026-W26
e014,evaluation,0.58,0,general,chat,2026-W26
e015,evaluation,0.62,1,matricula,web,2026-W26
e016,evaluation,0.66,1,becas,email,2026-W26
e017,evaluation,0.70,1,soporte_tecnico,chat,2026-W26
e018,evaluation,0.74,0,general,web,2026-W26
e019,evaluation,0.78,1,matricula,email,2026-W27
e020,evaluation,0.82,1,becas,chat,2026-W27
e021,evaluation,0.85,1,soporte_tecnico,web,2026-W27
e022,evaluation,0.88,1,general,email,2026-W27
e023,evaluation,0.90,1,matricula,chat,2026-W27
e024,evaluation,0.92,1,becas,web,2026-W27
e025,evaluation,0.94,1,soporte_tecnico,email,2026-W28
e026,evaluation,0.96,1,general,chat,2026-W28
e027,evaluation,0.98,0,matricula,web,2026-W28
e028,evaluation,0.99,1,becas,email,2026-W28
e029,evaluation,0.13,0,soporte_tecnico,chat,2026-W28
e030,evaluation,0.32,1,becas,web,2026-W28
e031,evaluation,0.51,0,general,email,2026-W29
e032,evaluation,0.57,1,matricula,chat,2026-W29
e033,evaluation,0.69,1,soporte_tecnico,web,2026-W29
e034,evaluation,0.77,0,general,email,2026-W29
e035,evaluation,0.87,1,becas,chat,2026-W29
e036,evaluation,0.95,1,matricula,web,2026-W29
