case_id,label,missing_payment,deadline_hours,docs_attached,prior_cases,contains_policy_keyword,student_wait_days
t001,1,1,6,0,3,1,12
t002,0,0,120,1,0,1,1
t003,1,1,18,0,2,0,9
t004,0,0,72,1,1,0,2
t005,1,1,10,1,4,1,14
t006,0,0,96,0,0,0,3
t007,1,0,8,0,5,1,10
t008,0,0,144,1,0,1,0
t009,1,1,24,0,1,1,8
t010,0,0,60,1,2,0,4
t011,1,1,4,0,6,1,16
t012,0,0,168,1,0,0,1
t013,1,0,12,0,4,1,11
t014,0,0,80,0,1,0,2
t015,1,1,30,0,2,1,7
t016,0,0,110,1,1,1,3
t017,1,1,16,1,3,0,13
t018,0,0,48,1,0,0,2
t019,1,0,20,0,5,1,15
t020,0,0,130,1,2,0,1
