strategy,kind,value,splits,case_ids
random_row,student_id_overlap,stu-001,test|train,s001|s009
random_row,student_id_overlap,stu-003,test|train,s003|s019
random_row,source_id_overlap,doc-mat-001,test|train,s001|s009
random_row,source_id_overlap,doc-pay-001,test|train,s003|s019
random_row,near_text,0.833333,train|test,s001|s009
random_row,near_text,0.833333,train|test,s003|s019
random_row,future_train_vs_test,2026-04-08,train|test,s010|s011|s012|s013|s014|s020|s021|s022|s023
stratified_label,student_id_overlap,stu-001,test|train,s001|s009
stratified_label,student_id_overlap,stu-003,test|train,s003|s019
stratified_label,source_id_overlap,doc-mat-001,test|train,s001|s009
stratified_label,source_id_overlap,doc-pay-001,test|train,s003|s019
stratified_label,near_text,0.833333,train|test,s001|s009
stratified_label,near_text,0.833333,train|test,s003|s019
stratified_label,future_train_vs_test,2026-04-08,train|test,s010|s011|s012|s013|s014|s020|s021|s022|s023|s024
group_holdout,future_train_vs_test,2026-04-08,train|test,s009|s011|s012|s013|s014|s015|s016|s017|s019|s023|s024
time_cutoff,student_id_overlap,stu-003,train|validation,s003|s019
time_cutoff,source_id_overlap,doc-pay-001,train|validation,s003|s019
time_cutoff,near_text,0.833333,train|validation,s003|s019
