case_id,created_at,student_id,label,random_row,stratified_label,group_holdout,time_cutoff,time_group_holdout
s001,2026-04-01,stu-001,answer,train,train,train,train,train
s002,2026-04-02,stu-002,ask_more,train,train,train,train,train
s003,2026-04-03,stu-003,answer,train,train,train,train,validation
s004,2026-04-04,stu-004,answer,train,train,train,train,train
s005,2026-04-05,stu-005,escalate,train,validation,train,train,train
s006,2026-04-06,stu-006,answer,validation,validation,validation,train,train
s007,2026-04-07,stu-007,answer,validation,validation,validation,train,train
s008,2026-04-08,stu-008,ask_more,test,test,test,train,train
s009,2026-04-09,stu-001,answer,test,test,train,train,train
s010,2026-04-10,stu-009,escalate,train,train,test,train,train
s011,2026-04-11,stu-010,answer,train,train,train,train,train
s012,2026-04-12,stu-011,ask_more,train,train,train,train,train
s013,2026-04-13,stu-012,answer,train,train,train,train,train
s014,2026-04-14,stu-002,ask_more,train,train,train,train,train
s015,2026-04-15,stu-013,escalate,validation,test,train,validation,train
s016,2026-04-16,stu-014,ask_more,validation,validation,train,validation,train
s017,2026-04-17,stu-015,answer,test,validation,train,validation,validation
s018,2026-04-18,stu-016,answer,test,test,validation,validation,validation
s019,2026-04-19,stu-003,answer,test,test,train,validation,validation
s020,2026-04-20,stu-017,answer,train,train,validation,test,validation
s021,2026-04-21,stu-018,ask_more,train,train,test,test,test
s022,2026-04-22,stu-019,answer,train,train,test,test,test
s023,2026-04-23,stu-020,escalate,train,train,train,test,test
s024,2026-04-24,stu-021,answer,validation,train,train,test,test
