case_id,split,target_label,days_since_min_train_date,text_token_count,product__becas,product__horarios,product__matricula,product__pagos,product__practicas,product__titulos,channel__chat,channel__email,channel__portal,tfidf__consulta,tfidf__beca,tfidf__matricula,tfidf__plazo,tfidf__cambio,tfidf__convenio,tfidf__duda,tfidf__incompleta,tfidf__ordinaria,tfidf__practicas,tfidf__requisitos,tfidf__ambiguo,tfidf__anulacion,tfidf__caso,tfidf__cerrado,tfidf__datos,tfidf__denegada,tfidf__documentacion,tfidf__duplicado,tfidf__emitido,tfidf__empresa,tfidf__estado,tfidf__expediente,tfidf__faltan,tfidf__grupo,tfidf__horario,tfidf__horarios,tfidf__indicada,tfidf__laboratorio,tfidf__mensaje,tfidf__pago,tfidf__parcial,tfidf__reclamacion,tfidf__revisar,tfidf__revision,tfidf__solicitud,tfidf__titulo,tfidf__urgente
s001,train,answer,0.0,0.8,0,0,1,0,0,0,0,0,1,1.82667857,0.0,2.38629436,2.38629436,0.0,0.0,0.0,0.0,2.67397643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s002,train,ask_more,0.06666667,0.8,1,0,0,0,0,0,0,1,0,0.0,1.98082925,0.0,0.0,0.0,0.0,2.67397643,2.67397643,0.0,0.0,2.67397643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s003,validation,answer,0.13333333,0.8,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s004,train,answer,0.2,0.6,0,1,0,0,0,0,1,0,0,1.82667857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s005,train,escalate,0.26666667,1.0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,2.38629436,2.67397643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s006,train,answer,0.33333333,0.8,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,3.07944154,0.0
s007,train,answer,0.4,0.6,1,0,0,0,0,0,0,0,1,1.82667857,1.98082925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s008,train,ask_more,0.46666667,0.8,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.67397643,0.0,0.0,0.0,2.67397643,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s009,train,answer,0.53333333,0.8,0,0,1,0,0,0,0,1,0,1.82667857,0.0,2.38629436,2.38629436,0.0,0.0,0.0,0.0,2.67397643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s010,train,escalate,0.6,0.6,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0
