slice_id,field,value,n,positives,negatives,tp,fp,fn,tn,review,automated,priority_rate,review_rate,automation_rate,auto_recall,auto_recall_low,auto_recall_high,miss_rate,safety_capture,false_positive_rate,precision,cost_total,cost_per_case,latency_p95_ms
overall,,,36,18,18,8,1,4,10,13,23,0.25,0.3611,0.6389,0.4444,0.2456,0.6628,0.2222,0.7778,0.0556,0.8889,50.6,1.4056,552.0
product=becas,product,becas,9,5,4,2,0,0,3,4,5,0.2222,0.4444,0.5556,0.4,0.1176,0.7693,0.0,1.0,0.0,1.0,4.8,0.5333,505.0
product=matricula,product,matricula,9,4,5,2,0,1,2,4,5,0.2222,0.4444,0.5556,0.5,0.15,0.85,0.25,0.75,0.0,1.0,12.8,1.4222,528.0
product=practicas,product,practicas,9,5,4,2,0,2,2,3,6,0.2222,0.3333,0.6667,0.4,0.1176,0.7693,0.4,0.6,0.0,1.0,19.6,2.1778,548.0
product=titulos,product,titulos,9,4,5,2,1,1,3,2,7,0.3333,0.2222,0.7778,0.5,0.15,0.85,0.25,0.75,0.2,0.6667,13.4,1.4889,560.0
channel=email,channel,email,12,7,5,5,0,1,2,4,8,0.4167,0.3333,0.6667,0.7143,0.3589,0.9178,0.1429,0.8571,0.0,1.0,12.8,1.0667,552.0
channel=portal,channel,portal,15,6,9,1,1,3,6,4,11,0.1333,0.2667,0.7333,0.1667,0.0301,0.5635,0.5,0.5,0.1111,0.5,31.8,2.12,548.0
channel=telefono,channel,telefono,9,5,4,2,0,0,2,5,4,0.2222,0.5556,0.4444,0.4,0.1176,0.7693,0.0,1.0,0.0,1.0,6.0,0.6667,560.0
language=ca,language,ca,10,5,5,2,0,2,3,3,7,0.2,0.3,0.7,0.4,0.1176,0.7693,0.4,0.6,0.0,1.0,19.6,1.96,530.0
language=en,language,en,9,4,5,1,0,1,2,5,4,0.1111,0.5556,0.4444,0.25,0.0456,0.6994,0.25,0.75,0.0,1.0,14.0,1.5556,560.0
language=es,language,es,17,9,8,5,1,1,5,5,12,0.3529,0.2941,0.7059,0.5556,0.2666,0.8112,0.1111,0.8889,0.125,0.8333,17.0,1.0,528.0
access_need=no,access_need,no,24,12,12,8,1,0,8,7,17,0.375,0.2917,0.7083,0.6667,0.3906,0.8619,0.0,1.0,0.0833,0.8889,11.4,0.475,480.0
access_need=si,access_need,si,12,6,6,0,0,4,2,6,6,0.0,0.5,0.5,0.0,0,0.3903,0.6667,0.3333,0.0,,39.2,3.2667,560.0
student_profile=nuevo,student_profile,nuevo,18,9,9,3,0,2,6,7,11,0.1667,0.3889,0.6111,0.3333,0.1206,0.6458,0.2222,0.7778,0.0,1.0,24.4,1.3556,548.0
student_profile=veterano,student_profile,veterano,18,9,9,5,1,2,4,6,12,0.3333,0.3333,0.6667,0.5556,0.2666,0.8112,0.2222,0.7778,0.1111,0.8333,26.2,1.4556,560.0
language=ca|access_need=no,language+access_need,language=ca|access_need=no,6,3,3,2,0,0,2,2,4,0.3333,0.3333,0.6667,0.6667,0.2077,0.9385,0.0,1.0,0.0,1.0,2.4,0.4,480.0
language=ca|access_need=si,language+access_need,language=ca|access_need=si,4,2,2,0,0,2,1,1,3,0.0,0.25,0.75,0.0,0,0.6576,1.0,0.0,0.0,,17.2,4.3,530.0
language=en|access_need=no,language+access_need,language=en|access_need=no,5,2,3,1,0,0,2,2,3,0.2,0.4,0.6,0.5,0.0945,0.9055,0.0,1.0,0.0,1.0,2.4,0.48,490.0
language=en|access_need=si,language+access_need,language=en|access_need=si,4,2,2,0,0,1,0,3,1,0.0,0.75,0.25,0.0,0,0.6576,0.5,0.5,0.0,,11.6,2.9,560.0
language=es|access_need=no,language+access_need,language=es|access_need=no,13,7,6,5,1,0,4,3,10,0.4615,0.2308,0.7692,0.7143,0.3589,0.9178,0.0,1.0,0.1667,0.8333,6.6,0.5077,460.0
language=es|access_need=si,language+access_need,language=es|access_need=si,4,2,2,0,0,1,1,2,2,0.0,0.5,0.5,0.0,0,0.6576,0.5,0.5,0.0,,10.4,2.6,528.0
product=becas|access_need=no,product+access_need,product=becas|access_need=no,7,4,3,2,0,0,2,3,4,0.2857,0.4286,0.5714,0.5,0.15,0.85,0.0,1.0,0.0,1.0,3.6,0.5143,470.0
product=becas|access_need=si,product+access_need,product=becas|access_need=si,2,1,1,0,0,0,1,1,1,0.0,0.5,0.5,0.0,0,0.7935,0.0,1.0,0.0,,1.2,0.6,505.0
