event_id,window,product,channel,language,access_need,true_priority,decision,score,latency_ms,trace_id,pipeline_version,model_version,data_version
p001,2026-06-07,becas,portal,es,no,1,priorizar,0.92,430,tr-p001,pipe-1.4.1,model-2026-06-01,data-2026-06-07
p002,2026-06-07,becas,email,es,no,0,normal,0.24,372,tr-p002,pipe-1.4.1,model-2026-06-01,data-2026-06-07
p003,2026-06-07,matricula,email,es,no,1,priorizar,0.86,418,tr-p003,pipe-1.4.1,model-2026-06-01,data-2026-06-07
p004,2026-06-07,matricula,portal,es,no,0,normal,0.28,395,tr-p004,pipe-1.4.1,model-2026-06-01,data-2026-06-07
p005,2026-06-07,practicas,portal,es,no,1,priorizar,0.79,468,tr-p005,pipe-1.4.1,model-2026-06-01,data-2026-06-07
p006,2026-06-07,practicas,telefono,ca,no,0,revisar,0.42,489,tr-p006,pipe-1.4.1,model-2026-06-01,data-2026-06-07
p007,2026-06-07,titulos,email,en,si,1,revisar,0.55,585,tr-p007,pipe-1.4.1,model-2026-06-01,data-2026-06-07
p008,2026-06-07,titulos,portal,en,si,0,revisar,0.43,590,tr-p008,pipe-1.4.1,model-2026-06-01,data-2026-06-07
p009,2026-06-07,becas,telefono,ca,no,1,revisar,0.68,482,tr-p009,pipe-1.4.1,model-2026-06-01,data-2026-06-07
p010,2026-06-07,becas,portal,ca,no,0,normal,0.34,452,tr-p010,pipe-1.4.1,model-2026-06-01,data-2026-06-07
p011,2026-06-08,practicas,portal,en,si,1,normal,0.29,710,tr-p011,pipe-1.4.2,model-2026-06-01,data-2026-06-08
p012,2026-06-08,practicas,email,en,si,0,revisar,0.47,735,tr-p012,pipe-1.4.2,model-2026-06-01,data-2026-06-08
p013,2026-06-08,practicas,portal,en,si,1,normal,0.31,748,,pipe-1.4.2,model-2026-06-01,data-2026-06-08
p014,2026-06-08,practicas,telefono,en,si,0,revisar,0.51,760,tr-p014,pipe-1.4.2,model-2026-06-01,data-2026-06-08
p015,2026-06-08,titulos,email,en,si,1,revisar,0.57,690,tr-p015,pipe-1.4.2,model-2026-06-01,data-2026-06-08
p016,2026-06-08,titulos,portal,en,si,0,revisar,0.46,672,tr-p016,pipe-1.4.2,model-2026-06-01,data-2026-06-08
p017,2026-06-08,becas,portal,en,si,1,normal,0.30,720,tr-p017,pipe-1.4.2,model-2026-06-01,data-2026-06-08
p018,2026-06-08,becas,email,en,si,0,revisar,0.49,705,tr-p018,pipe-1.4.2,model-2026-06-01,data-2026-06-08
p019,2026-06-08,matricula,portal,en,si,1,revisar,0.56,695,tr-p019,pipe-1.4.2,model-2026-06-01,data-2026-06-08
p020,2026-06-08,matricula,telefono,en,si,0,revisar,0.45,686,tr-p020,pipe-1.4.2,model-2026-06-01,data-2026-06-08
