event_id,window,product,channel,language,access_need,true_priority,decision,score,latency_ms,trace_id,pipeline_version,model_version,data_version
r001,reference,becas,portal,es,no,1,priorizar,0.91,420,tr-r001,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r002,reference,becas,email,es,no,0,normal,0.21,360,tr-r002,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r003,reference,matricula,email,es,no,1,priorizar,0.84,410,tr-r003,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r004,reference,matricula,portal,es,no,0,normal,0.25,390,tr-r004,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r005,reference,practicas,portal,es,no,1,priorizar,0.82,455,tr-r005,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r006,reference,practicas,telefono,es,no,0,normal,0.29,430,tr-r006,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r007,reference,titulos,email,es,no,1,priorizar,0.88,405,tr-r007,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r008,reference,titulos,portal,es,no,0,normal,0.26,385,tr-r008,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r009,reference,becas,telefono,ca,no,1,revisar,0.70,470,tr-r009,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r010,reference,becas,portal,ca,no,0,normal,0.32,445,tr-r010,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r011,reference,matricula,email,ca,no,1,priorizar,0.80,448,tr-r011,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r012,reference,matricula,telefono,ca,no,0,revisar,0.48,475,tr-r012,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r013,reference,practicas,portal,en,si,1,revisar,0.57,535,tr-r013,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r014,reference,practicas,email,en,si,0,revisar,0.44,540,tr-r014,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r015,reference,titulos,telefono,en,si,1,revisar,0.59,555,tr-r015,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r016,reference,titulos,email,en,si,0,normal,0.31,520,tr-r016,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r017,reference,becas,portal,es,si,1,revisar,0.61,500,tr-r017,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r018,reference,becas,email,es,si,0,normal,0.28,490,tr-r018,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r019,reference,matricula,portal,es,si,1,revisar,0.58,510,tr-r019,pipe-1.4.0,model-2026-06-01,data-2026-06-01
r020,reference,matricula,telefono,es,si,0,revisar,0.40,522,tr-r020,pipe-1.4.0,model-2026-06-01,data-2026-06-01
