trace_id,event_id,span_id,parent_span_id,span_name,start_ms,duration_ms,status,component,pipeline_version,model_version,data_version
tr-p001,p001,s001,,ingest,0,45,ok,collector,pipe-1.4.1,model-2026-06-01,data-2026-06-07
tr-p001,p001,s002,s001,validate,45,60,ok,validator,pipe-1.4.1,model-2026-06-01,data-2026-06-07
tr-p001,p001,s003,s002,score,105,180,ok,model,pipe-1.4.1,model-2026-06-01,data-2026-06-07
tr-p001,p001,s004,s003,decide,285,35,ok,policy,pipe-1.4.1,model-2026-06-01,data-2026-06-07
tr-p001,p001,s005,s004,emit,320,55,ok,writer,pipe-1.4.1,model-2026-06-01,data-2026-06-07
tr-p007,p007,s006,,ingest,0,55,ok,collector,pipe-1.4.1,model-2026-06-01,data-2026-06-07
tr-p007,p007,s007,s006,validate,55,75,ok,validator,pipe-1.4.1,model-2026-06-01,data-2026-06-07
tr-p007,p007,s008,s007,score,130,250,ok,model,pipe-1.4.1,model-2026-06-01,data-2026-06-07
tr-p007,p007,s009,s008,decide,380,45,ok,policy,pipe-1.4.1,model-2026-06-01,data-2026-06-07
tr-p007,p007,s010,s009,emit,425,60,ok,writer,pipe-1.4.1,model-2026-06-01,data-2026-06-07
tr-p011,p011,s011,,ingest,0,68,ok,collector,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p011,p011,s012,s011,validate,68,110,ok,validator,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p011,p011,s013,s012,score,178,410,ok,model,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p011,p011,s014,s013,decide,588,50,ok,policy,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p011,p011,s015,s014,emit,638,72,ok,writer,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p012,p012,s016,,ingest,0,70,ok,collector,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p012,p012,s017,s016,validate,70,125,ok,validator,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p012,p012,s018,s017,score,195,430,ok,model,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p012,p012,s019,s018,decide,625,55,ok,policy,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p012,p012,s020,s019,emit,680,75,ok,writer,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p017,p017,s021,,ingest,0,72,ok,collector,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p017,p017,s022,s021,validate,72,118,ok,validator,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p017,p017,s023,s022,score,190,445,ok,model,pipe-1.4.2,model-2026-06-01,data-2026-06-08
tr-p017,p017,s024,s023,decide,635,60,ok,policy,pipe-1.4.2,model-2026-06-01,data-2026-06-08
