event_id,window,trace_id,span_count,requires_span_detail,missing_spans,order_ok,total_duration_ms,slow_spans
p001,2026-06-07,tr-p001,5,True,,True,375.0,
p002,2026-06-07,tr-p002,0,False,,True,,
p003,2026-06-07,tr-p003,0,False,,True,,
p004,2026-06-07,tr-p004,0,False,,True,,
p005,2026-06-07,tr-p005,0,False,,True,,
p006,2026-06-07,tr-p006,0,False,,True,,
p007,2026-06-07,tr-p007,5,True,,True,485.0,
p008,2026-06-07,tr-p008,0,False,,True,,
p009,2026-06-07,tr-p009,0,False,,True,,
p010,2026-06-07,tr-p010,0,False,,True,,
p011,2026-06-08,tr-p011,5,True,,True,710.0,score:410.0>320
p012,2026-06-08,tr-p012,5,True,,True,755.0,score:430.0>320
p013,2026-06-08,,0,False,,True,,
p014,2026-06-08,tr-p014,0,False,,True,,
p015,2026-06-08,tr-p015,0,False,,True,,
p016,2026-06-08,tr-p016,0,False,,True,,
p017,2026-06-08,tr-p017,4,True,emit,True,695.0,score:445.0>320
p018,2026-06-08,tr-p018,0,False,,True,,
p019,2026-06-08,tr-p019,0,False,,True,,
p020,2026-06-08,tr-p020,0,False,,True,,
