unit_id,variant,segment,pre_week_tasks,historical_resolution_rate,resolved,minutes_to_resolution,cost_eur,latency_ms,negative_feedback
u001,control,matricula,7,0.62,1,42,1.20,410,0
u002,control,becas,5,0.58,0,71,1.10,430,0
u003,control,practicas,4,0.52,1,55,1.30,460,0
u004,control,matricula,8,0.66,1,39,1.25,420,0
u005,control,becas,3,0.48,0,83,1.10,440,1
u006,control,practicas,6,0.55,0,78,1.35,455,0
u007,control,matricula,9,0.70,1,36,1.20,415,0
u008,control,becas,4,0.51,0,88,1.15,470,1
u009,control,practicas,5,0.53,1,57,1.30,450,0
u010,control,matricula,6,0.61,1,44,1.20,425,0
u011,control,becas,6,0.56,1,61,1.15,445,0
u012,control,practicas,3,0.49,0,91,1.35,465,1
u013,treatment,matricula,7,0.63,1,32,1.35,455,0
u014,treatment,becas,5,0.57,1,49,1.25,475,0
u015,treatment,practicas,4,0.51,1,46,1.45,495,0
u016,treatment,matricula,8,0.67,1,31,1.35,460,0
u017,treatment,becas,3,0.47,0,72,1.25,520,1
u018,treatment,practicas,6,0.56,1,52,1.50,505,0
u019,treatment,matricula,9,0.71,1,29,1.35,470,0
u020,treatment,becas,4,0.50,1,58,1.25,515,0
u021,treatment,practicas,5,0.54,0,76,1.50,530,1
u022,treatment,matricula,6,0.60,1,34,1.35,465,0
u023,treatment,becas,6,0.57,1,47,1.25,500,0
u024,treatment,practicas,3,0.48,1,63,1.50,525,0
