unit_id,variant,metric_window,resolved,followup_needed,student_satisfied
u001,control,day_1,1,0,1
u001,control,day_7,1,0,1
u002,control,day_1,0,1,0
u002,control,day_7,0,1,0
u003,control,day_1,1,1,0
u003,control,day_7,1,0,1
u004,control,day_1,1,0,1
u004,control,day_7,1,0,1
u005,control,day_1,0,1,0
u005,control,day_7,0,1,0
u006,control,day_1,0,1,0
u006,control,day_7,0,1,0
u013,treatment,day_1,1,1,0
u013,treatment,day_7,1,0,1
u014,treatment,day_1,1,0,1
u014,treatment,day_7,1,0,1
u015,treatment,day_1,1,1,0
u015,treatment,day_7,1,0,1
u016,treatment,day_1,1,0,1
u016,treatment,day_7,1,0,1
u017,treatment,day_1,0,1,0
u017,treatment,day_7,0,1,0
u018,treatment,day_1,1,1,0
u018,treatment,day_7,1,0,1
