unit_id,received_action,segment,prior_priority,historical_resolution_rate,resolved
o001,1,matricula,high,0.76,1
o002,1,matricula,high,0.74,1
o003,1,matricula,high,0.70,1
o004,1,becas,high,0.68,1
o005,1,becas,medium,0.55,1
o006,1,practicas,medium,0.53,0
o007,1,practicas,high,0.66,1
o008,1,becas,medium,0.57,1
o009,1,matricula,high,0.72,1
o010,1,practicas,medium,0.54,0
o011,0,matricula,low,0.42,0
o012,0,becas,low,0.38,0
o013,0,practicas,low,0.35,0
o014,0,matricula,medium,0.52,1
o015,0,becas,medium,0.50,0
o016,0,practicas,low,0.34,0
o017,0,matricula,medium,0.51,1
o018,0,becas,low,0.39,0
o019,0,practicas,medium,0.49,0
o020,0,matricula,low,0.44,0
o021,1,matricula,medium,0.56,1
o022,1,becas,high,0.69,1
o023,0,becas,high,0.67,1
o024,0,practicas,high,0.65,1
