unit_id,flag_key,variant,assigned_at,exposed_at,flag_version,context_hash,bucket
u001,support_template_guided_reply,control,2026-06-07T09:00:00Z,2026-06-07T09:01:00Z,2026-06-07,d777269c368b31dd,0.25496
u002,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:02:00Z,2026-06-07,73c91f80363a33d9,0.580203
u003,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:03:00Z,2026-06-07,66faf3eda461568d,0.522137
u004,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:04:00Z,2026-06-07,23e7f8843646c9a6,0.864404
u005,support_template_guided_reply,control,2026-06-07T09:00:00Z,2026-06-07T09:05:00Z,2026-06-07,4c5f1595b6b73257,0.076855
u006,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:06:00Z,2026-06-07,201b0a72d4454191,0.655841
u007,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:07:00Z,2026-06-07,5140a6a9ddb29bd5,0.728818
u008,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:08:00Z,2026-06-07,8e0c6d07180a5235,0.706002
u009,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:09:00Z,2026-06-07,48b9e9056fd325a8,0.696377
u010,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:10:00Z,2026-06-07,000e413efc4b121a,0.809878
u011,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:11:00Z,2026-06-07,d75aa2a957d78a56,0.710029
u012,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:12:00Z,2026-06-07,e8d582e41c15b13f,0.757236
u013,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:13:00Z,2026-06-07,f952c55f22f56c2e,0.552891
u014,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:14:00Z,2026-06-07,8e8cd154a4a4982a,0.864738
u015,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:15:00Z,2026-06-07,1d72367ead0922c5,0.513738
u016,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:16:00Z,2026-06-07,adc75e7885436d0a,0.666871
u017,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:17:00Z,2026-06-07,95bae89b4c404560,0.80275
u018,support_template_guided_reply,control,2026-06-07T09:00:00Z,2026-06-07T09:18:00Z,2026-06-07,d868bf5a3f70c6a5,0.103136
u019,support_template_guided_reply,control,2026-06-07T09:00:00Z,2026-06-07T09:19:00Z,2026-06-07,656e94c9183044cf,0.005935
u020,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:20:00Z,2026-06-07,02cf5d010d3d2ed7,0.845184
u021,support_template_guided_reply,treatment,2026-06-07T09:00:00Z,2026-06-07T09:21:00Z,2026-06-07,f90b2b5dc4cd7ea6,0.767596
u022,support_template_guided_reply,control,2026-06-07T09:00:00Z,2026-06-07T09:22:00Z,2026-06-07,6c8992f95973bb32,0.05606
u023,support_template_guided_reply,control,2026-06-07T09:00:00Z,2026-06-07T09:23:00Z,2026-06-07,5f4f44d2f7247306,0.389809
u024,support_template_guided_reply,control,2026-06-07T09:00:00Z,2026-06-07T09:24:00Z,2026-06-07,be62d2dc7f7b12c2,0.452155
